Stand	Klinikname	Bundesland	ICU low care	ICU high care	ECMO	COVID-19 cases
2020-04-06 15:05:07	Harzklinikum Dorothea Christiane Erxleben GmbH, Harzklinikum  Standort Quedlinburg	ST	1.0	1.0		0.0
2020-04-08 12:05:05	Lungenklinik Ballenstedt/Harz, Lungenklinik Ballenstedt GmbH	ST	0.5	1.0	0.0	1.0
2020-04-08 18:05:07	Carl-von-Basedow Klinikum Saalekreis gGmbH, Standort Naumburg-Außenstelle der Kinder- und Jugendpsychiatrie im Klinikum Burgenlandkreis	ST				0.0
2020-04-08 09:05:05	Asklepios Kliniken Weißenfels-Hohenmölsen GmbH, Asklepios Klinik Weißenfels	ST		1.0		1.0
2020-04-08 15:05:05	Klinikum Burgenlandkreis GmbH, Standort Zeitz (Georgius-Agricola Klinikum Zeitz)	ST				0.0
2020-04-08 15:05:05	Gesundheitszentrum Bitterfeld/Wolfen gGmbH	ST	1.0	1.0		0.0
2020-04-08 15:05:05	Diakonissenkrankenhaus Dessau gemeinnützige GmbH, Hauptstandort	ST	0.0	0.5		0.0
2020-04-08 15:05:05	Städtisches Klinikum Dessau, Hauptstandort	ST	1.0	1.0		0.0
2020-04-08 15:05:05	MediClin Herzzentrum Coswig, Herzzentrum Coswig	ST	1.0	1.0	1.0	0.0
2020-04-08 15:05:05	Evangelisches Krankenhaus Paul Gerhardt Stift, Paul Gerhardt Stift - Hauptgebäude (Haus 1)	ST				2.0
2020-04-08 15:05:05	"Thüringen Kliniken ""Georgius Agricola"" GmbH, Standort  Saalfeld"	TH	1.0	1.0		1.0
2020-04-08 18:05:07	SRH Wald-Klinikum Gera, Hauptstandort	TH		1.0		2.0
2020-04-09 09:05:09	Waldkliniken Eisenberg GmbH, Hauptstandort	TH		1.0		0.0
2020-04-08 15:05:05	Universitätsklinikum Jena, Standort Jena Lobeda	TH	1.0	1.0	1.0	2.0
2020-04-08 21:05:06	Kreiskrankenhaus Greiz GmbH	TH	0.5	1.0		7.0
2020-04-08 15:05:05	Heinrich-Braun-Kinikum gemeinnützige GmbH, Standort Zwickau	SN	1.0	1.0	0.5	6.0
2020-04-08 15:05:05	Paracelsus-Klinik Zwickau	SN	1.0	0.5		6.0
2020-04-08 15:05:05	Helios Klinikum Aue GmbH	SN	1.0	1.0		3.0
2020-04-08 15:05:05	Kliniken Erlabrunn gGmbH, Hauptstandort	SN	0.5	0.5		1.0
2020-04-08 15:05:05	Rudolf Virchow Klinikum Glauchau gGmbH, Hauptstandort	SN	0.5	1.0		0.0
2020-04-08 15:05:05	Sächsisches Krankenhaus Rodewisch, Tagesklinik für Psychiatrie und Psychotherapie Werdau	SN	1.0	1.0		5.0
2020-04-08 15:05:05	Helios Vogtland-Klinikum Plauen	SN	1.0	1.0		1.0
2020-04-08 15:05:05	Paracelsus-Klinik Adorf/Schöneck, Standort Adorf	SN	1.0	1.0		0.0
2020-04-08 15:05:05	DRK Krankenhaus Chemnitz-Rabenstein, DRK Krankenhaus Chemnitz Rabenstein	SN				1.0
2020-04-08 15:05:05	Zeisigwaldkliniken Bethanien Chemnitz	SN	1.0	1.0		0.0
2020-04-08 15:05:05	DIAKOMED- Diakoniekrankenhaus Chemnitzer Land gGmbH	SN	1.0	1.0		0.0
2020-04-08 15:05:05	DRK Krankenhaus Lichtenstein GmbH, DRK Krankenhaus Lichtenstein Gemeinnützige GmbH	SN	1.0	1.0		0.0
2020-04-08 15:05:05	Klinikum Mittleres Erzgebirge gGmbH, Haus Zschopau, Klinikum Mittleres Ertgebirge, Haus Zschopau	SN	1.0	1.0		0.0
2020-04-08 15:05:05	Kreiskrankenhaus Freiberg gGmbH	SN	0.5	0.5		3.0
2020-04-08 15:05:05	Landkreis Mittweida Krankenhaus gGmbH, Krankenhaus Mittweida	SN	1.0	1.0		0.0
2020-04-08 15:05:05	Alexianer St. Hedwig Kliniken Berlin GmbH, Alexianer St. Hedwig-Krankenhaus	BE	1.0	1.0		0.0
2020-04-08 15:05:05	Bundeswehrkrankenhaus Berlin, Hauptstandort	BE	1.0	1.0	1.0	0.0
2020-04-08 15:05:05	Charité Universitätsmedizin Berlin, Hauptstandort Charité Universitätsmedizin Berlin	BE	1.0	1.0	1.0	0.0
2020-04-08 15:05:05	Vivantes ? Netzwerk für Gesundheit GmbH, Klinikum im Friedrichshain	BE	1.0	1.0	0.0	4.0
2020-04-08 15:05:05	Ev. Krankenhaus Königin Elisabeth Herzberge, Evangelisches Krankenhaus Königin Elisabeth Herzberge gGmbH	BE	1.0	1.0		0.0
2020-04-08 15:05:05	Sana Klinikum Lichtenberg	BE	1.0	1.0		4.0
2020-04-08 15:05:05	Sankt Gertrauden-Krankenhaus GmbH	BE	1.0	1.0		4.0
2020-04-08 15:05:05	Ev. Elisabeth Klinik Krankenhausbetriebs gGmbH, Hauptstandort	BE	1.0	1.0		0.0
2020-04-08 15:05:05	Vivantes ? Netzwerk für Gesundheit GmbH, Klinikum Am Urban	BE	1.0	1.0		0.0
2020-04-08 15:05:05	Vivantes ? Netzwerk für Gesundheit GmbH, Wenckebach-Klinikum	BE	0.0	0.0		2.0
2020-04-08 15:05:05	St. Joseph Krankenhaus Berlin-Tempelhof, Hauptstandort	BE	1.0	1.0		4.0
2020-04-08 15:05:05	Vivantes ? Netzwerk für Gesundheit GmbH, Auguste-Viktoria-Klinikum	BE	1.0	1.0		5.0
2020-04-08 18:05:07	Charité Universitätsmedizin Berlin, Charité Campus Benjamin Franklin	BE	1.0	1.0	1.0	9.0
2020-04-08 15:05:05	Krankenhaus Bethel Berlin gGmbH, Krankenhaus Bethel Berlin	BE	1.0	1.0		0.0
2020-04-08 15:05:05	St. Marien-Krankenhaus Lankwitz	BE	1.0	1.0		1.0
2020-04-08 18:05:07	Vivantes ? Netzwerk für Gesundheit GmbH, Klinikum Neukölln	BE	1.0	1.0	0.0	10.0
2020-04-08 15:05:05	DRK Kliniken Berlin Köpenick	BE	1.0	1.0		2.0
2020-04-08 15:05:05	Vivantes ? Netzwerk für Gesundheit GmbH, Klinikum Kaulsdorf	BE	1.0	1.0		0.0
2020-04-08 15:05:05	BG Klinikum Unfallkrankenhaus Berlin gGmbH	BE	0.0	1.0	0.5	9.0
2020-04-08 15:05:05	Park-Klinik Weißensee	BE	1.0	1.0		0.0
2020-04-08 15:05:05	Evangelische Lungenklinik Berlin, Hauptstandort	BE	0.5	0.0		0.0
2020-04-09 09:05:09	Helios Klinikum Berlin-Buch GmbH, Helios Klinikum Berlin-Buch	BE	1.0	1.0	1.0	1.0
2020-04-08 15:05:05	Caritas-Klinik Maria Heimsuchung Berlin Pankow, Caritas-Klinik Maria Heimsuchung Berlin-Pankow	BE	1.0	1.0		3.0
2020-04-08 18:05:07	Jüdisches Krankenhaus Berlin, Krankenhaus	BE	0.0	0.5		0.0
2020-04-08 18:05:07	Charité Universitätsmedizin Berlin, Charité Campus Virchow Klinikum	BE	1.0	1.0	1.0	47.0
2020-04-09 09:05:09	Deutsches Herzzentrum Berlin, Hauptstandort	BE	0.0	0.5	1.0	0.0
2020-04-08 15:05:05	DRK Kliniken Berlin Mitte	BE	1.0	1.0		0.0
2020-04-08 15:05:05	Dominikus-Krankenhaus Berlin-Hermsdorf GmbH, Caritas-Klinik Dominikus Berlin-Reinickendorf	BE	1.0	1.0		0.0
2020-04-08 15:05:05	Vivantes ? Netzwerk für Gesundheit GmbH, Humboldt-Klinikum	BE	1.0	1.0		5.0
2020-04-08 15:05:05	Vivantes ? Netzwerk für Gesundheit GmbH, Klinikum Spandau	BE	1.0	1.0		6.0
2020-04-08 15:05:05	Evangelisches Waldkrankenhaus Spandau, Stadtrandstraße 555-561	BE	1.0	1.0		3.0
2020-04-08 15:05:05	DRK Kliniken Berlin Westend	BE	1.0	1.0		5.0
2020-04-08 15:05:05	Schlosspark-Klinik	BE		1.0		0.0
2020-04-08 18:05:07	Gemeinschaftskrankenhaus Havelhöhe gGmbH, Gemeinschaftskrankenhaus Havelhöhe	BE	1.0	1.0	1.0	4.0
2020-04-08 15:05:05	Immanuel Krankenhaus Berlin, Standort Berlin Wannsee	BE	1.0	1.0		0.0
2020-04-08 15:05:05	Evangelisches Krankenhaus Hubertus	BE	1.0	0.0		0.0
2020-04-08 15:05:05	Krankenhaus Waldfriede e.V., Krankenhaus Waldfriede	BE	1.0	1.0		0.0
2020-04-08 15:05:05	Helios Klinikum Emil von Behring GmbH, Helios Klinikum Emil von Behring	BE	1.0	1.0		0.0
2020-04-09 09:05:09	Martin-Luther-Krankenhausbetriebs GmbH, Martin-Luther-Krankenhaus	BE	1.0	1.0	1.0	5.0
2020-04-08 21:05:06	Klinikum Ernst von Bergmann, Potsdam, Klinikum Ernst von Bergmann	BB	1.0	1.0		14.0
2020-04-08 15:05:05	St. Josefs-Krankenhaus Potsdam, Haupstandort Potsdam	BB	1.0	1.0		2.0
2020-04-09 09:05:09	Oberlinklinik gGmbH, Oberlinklinik	BB	1.0			
2020-04-08 15:05:05	FKH für neurologische Frührehabilitation, Fachkrankenhaus für neurologische Frührehabilitation	BB	0.0	0.0		0.0
2020-04-08 15:05:05	Havelland Kliniken GmbH, Klinik Nauen	BB	0.5	0.5		1.0
2020-04-08 15:05:05	Havelland Kliniken GmbH, Klinik Rathenow	BB	0.5	1.0		0.0
2020-04-08 15:05:05	Städtisches Klinikum Brandenburg GmbH, Hauptstandort	BB	1.0	1.0		0.0
2020-04-08 15:05:05	ASKLEPIOS Fachklinikum Brandenburg, Hauptstandort	BB	0.5	0.0		0.0
2020-04-08 15:05:05	Johanniter-Krankenhaus im Fläming Treuenbrietzen GmbH, Hauptstandort Treuenbrietzen	BB	0.5	1.0		0.0
2020-04-08 15:05:05	KMG Klinikum Thüringen Brandenburg gGmbH, KMG Klinikum Luckenwalde	BB		1.0		0.0
2020-04-09 09:05:09	Evangelisches Krankenhaus Ludwigsfelde-Teltow gemeinnützige GmbH, Evangelisches Krankenhaus Ludwigsfelde-Teltow	BB		1.0		1.0
2020-04-08 15:05:05	Klinikum Frankfurt (Oder) GmbH	BB		1.0		1.0
2020-04-08 15:05:05	Krankenhaus Märkisch- Oderland GmbH, Strausberg 01	BB	1.0	1.0		2.0
2020-04-08 15:05:05	HELIOS Klinikum Bad Saarow, Helios Klinikum Bad Saarow	BB	1.0	1.0	1.0	1.0
2020-04-08 15:05:05	Immanuel Klinik Rüdersdorf, Standort Rüdersdorf	BB	1.0	1.0	0.0	2.0
2020-04-08 15:05:05	Klinikum Dahme-Spreewald GmbH, Achenbach-Krankenhaus	BB				0.0
2020-04-08 15:05:05	ASKLEPIOS Fachklinikum Teupitz, Hauptstandort	BB	0.5	0.5		1.0
2020-04-08 15:05:05	Städtisches Krankenhaus Eisenhüttenstadt GmbH, Hauptstandort Eisenhüttenstadt	BB	1.0	1.0	0.0	0.0
2020-04-08 15:05:05	Klinikum Dahme-Spreewald GmbH, Spreewaldklinik Lübben	BB	1.0	1.0		1.0
2020-04-08 18:05:07	Evangelisches Krankenhaus Luckau gGmbH, Krankenhaus	BB	1.0	1.0		0.0
2020-04-08 15:05:05	Klinikum Barnim GmbH, Werner Forßmann Krankenhaus, Werner Forßmann Krankenhaus	BB	1.0	1.0		3.0
2020-04-08 15:05:05	Krankenhaus Angermünde	BB	1.0	1.0		0.0
2020-04-08 15:05:05	Asklepios Klinikum Uckermark	BB	0.5	0.5		2.0
2020-04-08 18:05:07	Immanuel Klinikum Bernau Herzzentrum Brandenburg	BB		1.0	1.0	2.0
2020-04-08 15:05:05	Oberhavel Kliniken GmbH, Standort Oranienburg	BB	0.0	1.0		1.0
2020-04-08 15:05:05	Asklepios Klinik Birkenwerder	BB	0.5	0.5		0.0
2020-04-08 15:05:05	Oberhavel Kliniken GmbH, Standort Hennigsdorf	BB	1.0	0.5		1.0
2020-04-08 15:05:05	Sana Kliniken Sommerfeld	BB	0.5			0.0
2020-04-08 15:05:05	Ruppiner Kliniken, Ruppiner Kliniken GmbH, Hauptstandort Neuruppin	BB	1.0	1.0		1.0
2020-04-08 15:05:05	KMG Klinikum Mitte GmbH, KMG Klinikum Mitte GmbH Klinikum Kyritz	BB	1.0	1.0		0.0
2020-04-08 15:05:05	KMG Klinikum Mitte GmbH, KMG Klinikum Mitte GmbH Klinikum Wittstock	BB	0.5	1.0		0.0
2020-04-08 15:05:05	KMG Klinikum Mitte GmbH, KMG Klinikum Mitte GmbH Klinikum Pritzwalk	BB	1.0	1.0		0.0
2020-04-08 15:05:05	Dietrich-Bonhoeffer-Klinikum, Standort Neubrandenburg	MV	1.0	1.0		3.0
2020-04-09 09:05:09	Kreiskrankenhaus Demmin GmbH	MV	0.0	0.5		1.0
2020-04-08 15:05:05	DRK Krankenhaus Teterow gGmbH, DRK Krankenhaus Teterow	MV		0.5		0.0
2020-04-08 15:05:05	Klinik Amsee GmbH, Klinik Amsee	MV	1.0	0.5		0.0
2020-04-08 15:05:05	MediClin Müritz Klinikum, Waren	MV		1.0		1.0
2020-04-08 15:05:05	DRK-Krankenhaus Mecklenburg-Strelitz gGmbH, Neustrelitz	MV	0.5	1.0		0.0
2020-04-08 15:05:05	Krankenhaus Angermünde, Tagesklinik Templin Erwachsene	BB	1.0	1.0		1.0
2020-04-08 15:05:05	Kreiskrankenhaus Prenzlau	BB	1.0	1.0		0.0
2020-04-08 15:05:05	Asklepios Klinik Pasewalk, Hauptstandort	MV	1.0	1.0		1.0
2020-04-08 15:05:05	AMEOS Krankenhausgesellschaft Vorpommern mbH, AMEOS Klinikum Ueckermünde	MV	1.0	1.0		
2020-04-08 15:05:05	AMEOS Krankenhausgesellschaft Vorpommern mbH, AMEOS Klinikum Anklam	MV	1.0	1.0		
2020-04-08 15:05:05	Kreiskrankenhaus Wolgast gGmbH	MV	1.0	1.0		0.0
2020-04-08 15:05:05	Universitätsmedizin Greifswald - Körperschaft des Öffentlichen Rechts, Hauptstandort	MV	1.0	1.0	1.0	2.0
2020-04-08 15:05:05	Klinikum Karlsburg, Hauptstandort	MV	1.0	1.0	1.0	0.0
2020-04-08 15:05:05	Universitätsmedizin Rostock, Universitätsmedizin Rostock Campus Schillingallee	MV	1.0	1.0	1.0	2.0
2020-04-08 15:05:05	Klinikum Südstadt Rostock, Hauptstandort	MV	1.0	1.0		0.0
2020-04-08 15:05:05	Universitätsmedizin Rostock, Universitätsmedizin Rostock - Zentrum für Nervenheilkunde - Campus Gehlsdorf	MV	0.5	0.5	0.0	0.0
2020-04-08 15:05:05	Sana Krankenhaus Bad Doberan GmbH, Krankenhaus Bad Doberan	MV	0.5	1.0		0.0
2020-04-08 15:05:05	Bodden-Kliniken Ribnitz-Damgarten GmbH, Hauptstandort	MV	0.0	1.0		1.0
2020-04-08 15:05:05	Helios Hanseklinikum Stralsund, Helios Hanseklinikum Stralsund - Sund Hauptstandort Somatik	MV	1.0	1.0	1.0	0.0
2020-04-08 15:05:05	Sana-Krankenhaus Rügen GmbH	MV	0.0	1.0		0.0
2020-04-08 15:05:05	Helios Kliniken Schwerin GmbH	MV	1.0	1.0	1.0	3.0
2020-04-08 15:05:05	Westmecklenburg Klinikum Helene von Bülow GmbH, Krankenhaus Hagenow	MV	0.0	1.0		0.0
2020-04-08 15:05:05	Westmecklenburg Klinikum Helene von Bülow GmbH, Krankenhaus Ludwigslust	MV	0.5	0.5		0.0
2020-04-08 15:05:05	Kreiskrankenhaus Prignitz, Hauptstandort	BB		1.0		0.0
2020-04-09 09:05:09	Asklepios Klinik Parchim	MV	1.0	1.0		0.0
2020-04-08 15:05:05	Asklepios Klinik St. Georg	HH	1.0	0.5	1.0	6.0
2020-04-08 15:05:05	Universitätsklinikum Hamburg-Eppendorf (UKE), Hauptstandort	HH	1.0	1.0	1.0	26.0
2020-04-08 15:05:05	AGAPLESION DIAKONIEKLINIKUM HAMBURG, Hauptstandort	HH	1.0	1.0		2.0
2020-04-08 15:05:05	Bethesda Krankenhaus Bergedorf gGmbH, Bethesda Krankenhaus Bergedorf	HH	1.0	1.0		4.0
2020-04-08 18:05:07	BG Klinikum Hamburg gGmbH, Hauptstandort	HH	1.0	1.0		2.0
2020-04-08 15:05:05	Asklepios Klinikum Harburg, Hauptstandort	HH	1.0	0.5	0.5	10.0
2020-04-08 15:05:05	Helios Mariahilf Klinikum GmbH, Helios Mariahilf Klinikum Hamburg	HH	1.0	1.0		0.0
2020-04-08 15:05:05	Wilhelmsburger Krankenhaus Groß-Sand	HH	1.0	1.0		0.0
2020-04-08 15:05:05	Krankenhaus Buchholz	NI	1.0	1.0		0.0
2020-04-08 15:05:05	Waldklinik Jesteburg Aldag GmbH & Co. KG	NI	1.0			0.0
2020-04-08 15:05:05	Städtisches Klinikum Lüneburg gGmbH, Städtisches Klinikum Lüneburg	NI	1.0	1.0		0.0
2020-04-08 15:05:05	Krankenhaus Winsen	NI		1.0		1.0
2020-04-08 15:05:05	Krankenhaus Reinbek St. Adolf-Stift GmbH, Hauptstandort	SH	1.0	1.0		2.0
2020-04-08 15:05:05	Johanniter-Krankenhaus Geesthacht, Hauptstandort	SH	0.5	0.5		3.0
2020-04-08 15:05:05	Elbe Klinikum Buxtehude	NI		1.0		0.0
2020-04-08 15:05:05	Elbe Klinikum Stade	NI	1.0	1.0		1.0
2020-04-09 09:05:09	Asklepios Klinik Wandsbek, Asklepios klinik Wandsbek	HH	1.0	1.0		7.0
2020-04-09 09:05:09	Bundeswehrkrankenhaus Hamburg	HH	1.0	1.0		5.0
2020-04-08 15:05:05	Schön Klinik Hamburg Eilbek, Klinik	HH	1.0	1.0		1.0
2020-04-09 00:05:05	Kath. Marienkrankenhaus gGmbH, Kath. Marienkrankenhaus Hamburg	HH		0.5		12.0
2020-04-08 15:05:05	Katholisches Kinderkrankenhaus Wilhelmstift, Hauptstandort	HH	1.0	1.0		0.0
2020-04-08 15:05:05	Israelitisches Krankenhaus Hamburg	HH	1.0	1.0		2.0
2020-04-08 15:05:05	Asklepios Klinik Barmbek, Haupstandort	HH	1.0	1.0		7.0
2020-04-08 18:05:07	Evangelisches Amalie Sieveking -Krankenhaus gGmbH, Hamburg Volksdorf	HH	1.0	1.0		2.0
2020-04-08 15:05:05	Asklpios Klinik Nord, Heidberg	HH	1.0	1.0	1.0	1.0
2020-04-08 15:05:05	Albertinen Krankenhaus-Albertinen Haus, Albertinen Krankenhaus- Albertinen Haus	HH	1.0	1.0	1.0	4.0
2020-04-08 15:05:05	Asklepios Westklinikum GmbH, Westklinikum	HH	1.0	0.5		3.0
2020-04-08 15:05:05	AKK Altonaer Kinderkrankenhaus gGmbH, Hauptstandort	HH	1.0	1.0		0.0
2020-04-08 15:05:05	Asklepios Klinik Altona, Hauptstandort	HH	1.0	1.0		2.0
2020-04-08 15:05:05	Helios ENDO-Klinik Hamburg GmbH, Helios ENDO-Klinik Hamburg	HH	1.0	1.0		0.0
2020-04-08 15:05:05	LungenClinic Grosshansdorf GmbH	SH	1.0	1.0		0.0
2020-04-09 09:05:09	Zentrum für Integrative Psychiatrie ZIP gGmbH - Campus Lübeck, Lübeck	SH	1.0	1.0	1.0	5.0
2020-04-08 15:05:05	Sana Kliniken Lübeck GmbH, Sana Klinik Lübeck Süd	SH	1.0	1.0		0.0
2020-04-08 15:05:05	Universitätsklinikum Schleswig-Holstein, Campus Lübeck	SH	1.0	1.0	1.0	3.0
2020-04-08 15:05:05	Sana Kliniken Ostholstein GmbH, Klinik Eutin	SH	0.5	0.5		2.0
2020-04-08 15:05:05	Schön Klinik Neustadt	SH	1.0	1.0		1.0
2020-04-08 15:05:05	Sana Kliniken Ostholstein GmbH, Klinik Oldenburg	SH	1.0	1.0		0.0
2020-04-08 15:05:05	Segeberger Kliniken, Bad Segeberg	SH	1.0	1.0	1.0	0.0
2020-04-08 15:05:05	Asklepios Klinik Bad Oldesloe	SH	0.0	1.0		0.0
2020-04-08 15:05:05	Medizinische Klinik Borstel	SH	1.0	1.0		3.0
2020-04-08 15:05:05	DRK-Krankenhaus Mölln-Ratzeburg, Hauptstandort	SH	0.0	1.0		0.0
2020-04-08 18:05:07	Sana HANSE-Klinikum Wismar GmbH, Standort 01 - Sana HANSE-Klinikum Wismar GmbH	MV	0.5	1.0		0.0
2020-04-08 15:05:05	Universitätsklinikum Schleswig-Holstein, Campus Kiel	SH	1.0	1.0		7.0
2020-04-08 15:05:05	Lubinus-Stiftung, Lubinus Clinicum	SH				0.0
2020-04-08 15:05:05	Städtisches Krankenhaus Kiel GmbH, Hauptstandort	SH	1.0	1.0		1.0
2020-04-08 15:05:05	Klinik Preetz, Gesundheits- und Pflegeeinrichtungen des Kreises Plön, Die Klinik in Preetz	SH	1.0	1.0		5.0
2020-04-08 15:05:05	Vamed Ostseeklinik Damp	SH	1.0	0.0		0.0
2020-04-08 15:05:05	FEK - Friedrich-Ebert-Krankenhaus Neumünster GmbH, Hauptstandort	SH	1.0	1.0	0.0	6.0
2020-04-08 15:05:05	Paracelsus Kinik Henstedt-Ulzburg, Paracelsus Klinik Henstedt-Ulzburg	SH	1.0	1.0		0.0
2020-04-08 15:05:05	Klinikum Bad Bramstedt, Hauptstandort	SH	1.0			0.0
2020-04-08 15:05:05	imland gGmbH, Standort Rendsburg	SH	1.0	1.0	0.0	6.0
2020-04-09 09:05:09	Helios Klinik Schleswig GmbH	SH		1.0		1.0
2020-04-08 15:05:05	Diakonissenkrankenhaus Flensburg, Diakonissenkrankenhaus der Ev.-luth. Diakonissenanstalt zu Flensburg	SH		1.0		0.0
2020-04-08 15:05:05	Malteser Krankenhaus St. Franziskus-Hospital, Hauptstandort	SH		0.5		2.0
2020-04-08 15:05:05	Regio Kliniken GmbH, Regio Klinikum Elmshorn	SH		1.0		6.0
